,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty,image
765,HP,Envy x360 15-fh0015AU Laptop,77490,66.0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16GB,LPDDR5,512GB,SSD,AMD Radeon AMD,15.6,1920,1080,Windows 11 OS,1,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1688726646/Croma%20Assets/Computers%20Peripherals/Laptop/Images/275036_oiypsc.png?tr=w-600
766,HP,Envy x360 15-fh0016AU Laptop,85490,66.0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16GB,LPDDR5,512GB,SSD,AMD Radeon AMD,15.6,1920,1080,Windows 11 OS,1,https://i5.walmartimages.com/asr/31dcde3c-f441-49cd-887f-162cc500066f_1.6b206be5fc0c003b38f7095d1dfdab21.jpeg
767,Lenovo,IdeaPad Slim 3 2023 82X70033IN Laptop,44000,69.32352941,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8GB,LPDDR5,512GB,SSD,Integrated Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iUJMarAwV-w1200-h1200/UJMarAwV.jpg
768,HP,14-em0027AU Laptop,51990,60.0,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",16GB,LPDDR5,512GB,SSD,AMD Radeon AMD,14.0,1920,1080,Windows 11 OS,1,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/q/5/1/-original-imagwzwbwfh5gsh4.jpeg?q=70&crop=false
769,Dell,Vostro 15 3510 Laptop,37990,60.0,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,1TB,Hard-Disk,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.BdUFGdLGNvSvQx4-bOVOtgHaFP?rs=1&pid=ImgDetMain
770,HP,14-em0025AU Laptop,34990,69.32352941,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon AMD,14.0,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-idw2o77ok-w1200-h1200/dw2o77ok.jpg
771,Lenovo,ThinkPad E14 21JRS00U00 Laptop,57799,64.0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Graphics,14.0,1920,1080,Windows 11 OS,1,https://sm.pcmag.com/t/pcmag_au/review/l/lenovo-thi/lenovo-thinkpad-e14-gen-2_c1em.3840.jpg
772,Lenovo,Thinkpad E15 21E6S05B00 Laptop,65990,67.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-imrAIoDLV-w1200-h1200/mrAIoDLV.jpg
773,Lenovo,Thinkbook 15 21DJ00EXIH Laptop,53990,66.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-ijZJeS4OQ-w1200-h1200/jZJeS4OQ.jpg
774,Lenovo,IdeaPad Gaming 3 15ACH6 82K2025JIN Laptop,49990,67.0,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 1650,15.6,1920,1080,Windows 11 OS,1,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1687937201/Croma%20Assets/Computers%20Peripherals/Laptop/Images/274578_i5qyxa.png
